bench,sample_id,task_type,score,layout_score,content_score,style_score,asset_score,confidence,one_sentence_reason,reference_images,generated_image,html_path
flame,38,react_generation,85.0,90.0,80.0,85.0,100.0,high,核心布局与组件结构高度还原，但关键动态内容（更新时间）缺失导致语义不完整。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\38_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\38.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\38.html
flame,17,react_generation,88.0,92.0,100.0,85.0,100.0,high,表单容器背景色和输入框边框颜色与参考图存在明显偏差，影响整体视觉一致性，但布局、内容与结构高度还原。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\17_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\17.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\17.html
flame,42,react_generation,92.0,95.0,100.0,90.0,100.0,high,整体还原度极高，仅存在细微的边框颜色、按钮圆角与字体粗细偏差，不影响功能与视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\42_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\42.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\42.html
flame,51,react_generation,88.0,92.0,100.0,85.0,100.0,high,布局结构与内容完全正确，但右侧按钮垂直对齐方式错误导致视觉节奏断裂，且分隔线与背景色存在轻微色差。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\51_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\51.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\51.html
flame,66,react_generation,94.0,98.0,100.0,92.0,100.0,high,整体还原高度精准，仅存在细微的线条颜色、文字对齐与背景色差，不影响功能与可读性。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\66_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\66.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\66.html
flame,31,react_generation,94.0,100.0,100.0,92.0,100.0,high,整体还原度极高，仅存在细微的边框粗细与按钮文字色差等非关键样式偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\31_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\31.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\31.html
flame,33,react_generation,92.0,100.0,100.0,90.0,100.0,high,整体布局、内容与结构高度一致，仅日期格式占位符和按钮圆角存在细微样式差异。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\33_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\33.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\33.html
flame,50,react_generation,98.0,100.0,100.0,95.0,100.0,high,视觉还原高度一致，仅存在极细微的按钮样式与垂直对齐偏差，不影响整体识别与功能呈现。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\50_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\50.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\50.html
flame,61,react_generation,96.0,100.0,100.0,95.0,100.0,high,视觉还原高度一致，仅存在极细微的字体颜色与按钮边框宽度差异，不影响整体识别与功能呈现。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\61_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\61.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\61.html
flame,74,react_generation,88.0,95.0,92.0,85.0,100.0,high,任务状态文本格式错误（应为‘Input Data - Pending’单行，实际分两行显示），导致内容语义不一致，但整体布局与结构高度还原。,experiments\random10_bench_smoke\mimo_random10_20260604\flame\inputs\images\74_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\rendered_fixed\74.png,experiments\random10_bench_smoke\mimo_random10_20260604\flame\html\74.html
fullfront,Interaction_Authoring_59_click_6_6,Interaction_Authoring,78.0,85.0,95.0,70.0,60.0,high,核心内容与布局还原良好，但主图资产严重失真且品牌 logo 颜色错误，导致视觉可信度显著下降。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_59_click_6_6_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_59_click_6_6_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_59_click_6_6.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_59_click_6_6.html
fullfront,Interaction_Authoring_69_hover_1_5,Interaction_Authoring,88.0,92.0,95.0,85.0,80.0,high,整体布局、文本内容和结构高度还原，但图片被错误添加了渐变遮罩层，且 Logo 颜色存在偏差，影响视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_69_hover_1_5_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_69_hover_1_5_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_69_hover_1_5.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_69_hover_1_5.html
fullfront,Interaction_Authoring_72_hover_2_14,Interaction_Authoring,96.0,100.0,100.0,95.0,95.0,high,静态页面视觉还原高度精准，仅存在极细微的颜色与对齐偏差，无布局或内容缺失。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_72_hover_2_14_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_72_hover_2_14_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_72_hover_2_14.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_72_hover_2_14.html
fullfront,Text_to_code_14_new-img-code_127,Text_to_code,82.0,90.0,95.0,70.0,65.0,high,核心布局与文本内容高度还原，但背景图像、品牌Logo及关键事实图标等视觉资产严重失真，导致整体风格偏离原设计。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Text_to_code_14_new-img-code_127_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Text_to_code_14_new-img-code_127.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Text_to_code_14_new-img-code_127.html
fullfront,Interaction_Authoring_62_hover_1_13,Interaction_Authoring,96.0,100.0,100.0,95.0,100.0,high,静态页面视觉还原高度精准，仅存在极细微的排版与间距偏差，无功能或结构缺失。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_62_hover_1_13_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_62_hover_1_13_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_62_hover_1_13.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_62_hover_1_13.html
fullfront,Interaction_Authoring_82_hover_3_15,Interaction_Authoring,96.0,100.0,100.0,95.0,90.0,high,静态页面结构、文本内容、布局和主要样式高度一致，仅存在图标颜色与导航文字粗细等极细微视觉偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_82_hover_3_15_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_82_hover_3_15_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_82_hover_3_15.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_82_hover_3_15.html
fullfront,Image_to_code_79_new-img-code_173,Image_to_code,86.0,92.0,95.0,78.0,75.0,high,核心布局与文本内容高度还原，但关键图片资产被替换或占位，且部分颜色/间距细节偏离参考设计。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Image_to_code_79_new-img-code_173_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Image_to_code_79_new-img-code_173.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Image_to_code_79_new-img-code_173.html
fullfront,Interaction_Authoring_9_click_1_55,Interaction_Authoring,96.0,100.0,98.0,95.0,94.0,high,静态页面视觉还原高度精准，仅存在极细微的色彩饱和度、图标间距与字体粗细偏差，不影响整体一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_9_click_1_55_0.png;experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Interaction_Authoring_9_click_1_55_1.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Interaction_Authoring_9_click_1_55.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Interaction_Authoring_9_click_1_55.html
fullfront,Image_to_code_175_new-img-code_521,Image_to_code,82.0,90.0,95.0,70.0,65.0,high,核心布局与内容高度还原，但关键产品图片（Premiere Pro）、主标题配色及部分图标资产存在明显偏差，影响整体视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Image_to_code_175_new-img-code_521_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Image_to_code_175_new-img-code_521.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Image_to_code_175_new-img-code_521.html
fullfront,Image_to_code_70_new-img-code_165,Image_to_code,86.0,92.0,90.0,80.0,85.0,high,整体结构与内容高度还原，但关键交互元素（按钮样式、标签颜色、导航图标间距）和视觉细节（字体换行、引号装饰、购物车面板）存在明显偏差，影响品牌一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\inputs\images\Image_to_code_70_new-img-code_165_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\rendered_fixed\Image_to_code_70_new-img-code_165.png,experiments\random10_bench_smoke\mimo_random10_20260604\fullfront\html\Image_to_code_70_new-img-code_165.html
ui2code_real,39,real_static_generation,88.0,92.0,95.0,82.0,78.0,high,整体布局与内容高度还原，但关键资产（书籍封面图）缺失且左侧导航高亮状态错误，导致视觉一致性受损。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\39_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\39.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\39.html
ui2code_real,35,real_static_generation,78.0,82.0,90.0,70.0,65.0,high,核心图文内容基本保留，但关键视觉资产（主图、横幅图标、推广按钮）严重失真，导致整体还原度下降。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\35_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\35.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\35.html
ui2code_real,103,real_static_generation,62.0,70.0,85.0,40.0,20.0,high,核心问题在于所有产品图片被替换成无意义的彩色图标，严重破坏商品展示功能，且关键文本与价格排版存在多处错位和截断。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\103_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\103.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\103.html
ui2code_real,19,real_static_generation,68.0,75.0,80.0,55.0,40.0,high,关键视觉资产（所有游戏截图和横幅图）被纯色占位符替代，导致整体视觉密度与真实页面严重偏离，虽布局结构基本正确但失真度高。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\19_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\19.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\19.html
ui2code_real,64,real_static_generation,85.0,90.0,95.0,75.0,70.0,high,整体布局与内容高度还原，但顶部导航背景、赞助商区块视觉样式及底部Logo呈现存在明显偏差，影响品牌一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\64_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\64.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\64.html
ui2code_real,99,real_static_generation,94.0,98.0,96.0,90.0,95.0,high,整体还原度极高，仅表头颜色、按钮边框色及少量间距存在细微视觉偏差，不影响功能与结构识别。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\99_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\99.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\99.html
ui2code_real,25,real_static_generation,42.0,50.0,85.0,20.0,10.0,high,核心图片资产全部被抽象色块替代，导致页面视觉密度和真实感严重缺失，仅文本结构基本保留。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\25_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\25.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\25.html
ui2code_real,55,real_static_generation,68.0,70.0,85.0,55.0,40.0,high,背景与核心资产（游戏封面、视频控件）严重失真，导致整体视觉风格与参考图偏离巨大，尽管布局和文本内容基本正确。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\55_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\55.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\55.html
ui2code_real,104,real_static_generation,88.0,92.0,95.0,80.0,75.0,high,整体布局与内容高度还原，但课程卡片使用纯色背景替代了原图中的真实图片，且右侧信息卡样式（边框、阴影、圆角）存在明显视觉偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\104_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\104.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\104.html
ui2code_real,0,real_static_generation,86.0,92.0,95.0,78.0,80.0,high,整体布局与内容高度还原，但顶部导航样式、标签颜色及‘Read More’按钮图标对齐等关键视觉细节存在明显偏差，影响品牌一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\inputs\images\0_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\rendered_fixed\0.png,experiments\random10_bench_smoke\mimo_random10_20260604\ui2code_real\html\0.html
uipolish_real,44,repair_direct_incomplete,86.0,90.0,95.0,80.0,75.0,high,核心布局与内容高度还原，但三张卡片缺少背景色块、应用下载图标失真，导致视觉风格偏离原设计。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\44_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\44.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\44.html
uipolish_real,26,repair_direct_incomplete,88.0,95.0,92.0,80.0,85.0,high,整体布局与内容高度还原，但关键视觉元素（如项目前缀图标类型、颜色）错误且部分描述文本未严格匹配参考图。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\26_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\26.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\26.html
uipolish_real,1,repair_direct_incomplete,78.0,85.0,90.0,70.0,40.0,high,核心内容与布局还原良好，但关键图片缺失、Logo 错误及资产样式偏差导致视觉一致性显著下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\1_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\1.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\1.html
uipolish_real,45,repair_direct_incomplete,78.0,85.0,82.0,70.0,65.0,high,核心内容结构与文本还原良好，但关键视觉资产（图片、背景、Logo）严重缺失或错误，显著降低真实感与专业度。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\45_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\45.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\45.html
uipolish_real,67,repair_direct_incomplete,78.0,85.0,92.0,65.0,50.0,high,核心插图与底部产品图被替换成风格迥异的抽象占位元素，导致视觉识别度大幅下降，虽文本与布局基本正确，但关键资产还原失败。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\67_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\67.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\67.html
uipolish_real,22,repair_direct_incomplete,82.0,85.0,90.0,75.0,70.0,high,核心布局与内容还原良好，但关键图片资产缺失且多处样式细节（颜色、边框、背景）偏离参考设计，影响整体视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\22_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\22.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\22.html
uipolish_real,68,repair_direct_incomplete,88.0,92.0,95.0,80.0,75.0,high,整体布局、内容和结构高度还原，但左侧导航背景色错误、顶部图标缺失及右侧部分样式细节偏差导致扣分。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\68_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\68.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\68.html
uipolish_real,87,repair_direct_incomplete,68.0,85.0,92.0,55.0,30.0,high,产品图片被替换成无意义的色块占位符，导致核心视觉信息严重缺失，虽布局与文本基本正确但整体还原度大幅下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\87_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\87.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\87.html
uipolish_real,23,repair_direct_incomplete,68.0,70.0,95.0,55.0,40.0,high,关键视觉资产（主图、节目缩略图、品牌logo）严重缺失或替换为纯色块，导致整体视觉密度与真实感大幅下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\23_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\23.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\23.html
uipolish_real,92,repair_direct_incomplete,94.0,98.0,96.0,90.0,95.0,high,整体还原高度精准，仅存在极细微的文本换行与间距偏差，无关键组件缺失或错位。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\inputs\images\92_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\rendered_fixed\92.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_real\html\92.html
uipolish_synthetic,14110,repair_direct_incomplete,78.0,95.0,90.0,65.0,40.0,high,核心问题在于所有商品图片被单色占位块替代，严重削弱视觉真实性与信息传达，但布局、文本和结构还原良好。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\14110_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\14110.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\14110.html
uipolish_synthetic,8210,repair_direct_incomplete,78.0,85.0,92.0,65.0,40.0,high,核心问题在于所有商品图片被错误替换为纯色渐变占位图，且数据图表配色失真，导致视觉还原度显著下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\8210_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\8210.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\8210.html
uipolish_synthetic,948,repair_direct_incomplete,86.0,90.0,92.0,80.0,75.0,high,整体布局与内容高度还原，但关键组件如编辑区卡片样式、学习趋势图表数据可视化及进度条配色存在明显偏差，影响专业感与一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\948_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\948.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\948.html
uipolish_synthetic,7712,repair_direct_incomplete,94.0,98.0,96.0,92.0,100.0,high,整体还原度极高，仅存在细微的背景色、按钮圆角和文字颜色偏差，不影响功能与视觉一致性。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\7712_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\7712.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\7712.html
uipolish_synthetic,13826,repair_direct_incomplete,78.0,85.0,90.0,65.0,60.0,high,关键作品图片被纯色占位图替代，且存在标题文字错误与热门字图标样式偏差，导致视觉还原度显著下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\13826_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\13826.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\13826.html
uipolish_synthetic,13989,repair_direct_incomplete,78.0,90.0,95.0,65.0,40.0,high,核心视觉资产（主图与景点缩略图）严重失真或缺失，虽布局与文本内容还原良好，但整体视觉保真度大幅下降。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\13989_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\13989.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\13989.html
uipolish_synthetic,16973,repair_direct_incomplete,68.0,85.0,90.0,55.0,30.0,high,核心内容与布局基本还原，但关键图片资产全部缺失并用错误占位图替代，且侧边栏‘贴士’区块位置严重错位，导致整体视觉失真。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\16973_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\16973.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\16973.html
uipolish_synthetic,15746,repair_direct_incomplete,82.0,90.0,95.0,75.0,65.0,high,整体布局与文本内容高度还原，但关键资产（图片）被简化为图标，且统计模块的可视化样式与参考图存在明显偏差。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\15746_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\15746.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\15746.html
uipolish_synthetic,12802,repair_direct_incomplete,58.0,70.0,40.0,60.0,20.0,high,生成页面仅保留了布局骨架和部分结构元素，但所有主题卡片的图片、标题、描述及难度标签等核心内容均未还原，视觉上严重空洞。,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\inputs\images\12802_0.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\rendered_fixed\12802.png,experiments\random10_bench_smoke\mimo_random10_20260604\uipolish_synthetic\html\12802.html
